chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\AttrStringUtils.java,AttrStringUtils,299,117,0.391304347826087,32,0.012228260869565218
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\DefaultShadowGenerator.java,DefaultShadowGenerator,284,126,0.44366197183098594,26,0.01706392199349946
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\DirectionalGradientPaintTransformer.java,DirectionalGradientPaintTransformer,125,77,0.616,10,0.0616
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\ExportUtils.java,ExportUtils,211,99,0.46919431279620855,13,0.03609187021509296
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\GradientPaintTransformer.java,GradientPaintTransformer,47,41,0.8723404255319149,1,0.8723404255319149
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\GradientPaintTransformType.java,GradientPaintTransformType,40,33,0.825,1,0.825
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\package-info.java,package-info,4,3,0.75,1,0.75
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\PaintAlpha.java,PaintAlpha,355,225,0.6338028169014085,28,0.02263581488933602
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\ShadowGenerator.java,ShadowGenerator,68,61,0.8970588235294118,1,0.8970588235294118
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\StandardGradientPaintTransformer.java,StandardGradientPaintTransformer,156,77,0.4935897435897436,13,0.03796844181459566
D:\Tests\jfreechart\src\main\java\org\jfree\chart\util\StringUtils.java,StringUtils,87,62,0.7126436781609196,6,0.11877394636015326
D:\Tests\jfreechart\src\test\java\org\jfree\chart\swing\ChartPanelTest.java,ChartPanelTest,330,114,0.34545454545454546,31,0.011143695014662757
D:\Tests\jfreechart\src\test\java\org\jfree\chart\swing\CrosshairOverlayTest.java,CrosshairOverlayTest,87,47,0.5402298850574713,3,0.18007662835249041
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\Axis.java,Axis,1536,748,0.4869791666666667,127,0.003834481627296588
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection,127,78,0.6141732283464567,8,0.07677165354330709
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation,47,41,0.8723404255319149,1,0.8723404255319149
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation,81,55,0.6790123456790124,4,0.1697530864197531
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace,342,153,0.4473684210526316,39,0.011470985155195682
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState,175,109,0.6228571428571429,14,0.044489795918367346
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor,48,42,0.875,1,0.875
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis,1296,571,0.44058641975308643,112,0.003933807319223986
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition,229,130,0.5676855895196506,15,0.03784570596797671
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions,366,169,0.46174863387978143,22,0.02098857426726279
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType,45,40,0.8888888888888888,1,0.8888888888888888
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick,132,77,0.5833333333333334,13,0.04487179487179487
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat,140,92,0.6571428571428571,8,0.08214285714285714
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,CyclicNumberAxis,1048,395,0.37690839694656486,114,0.0033062140083032006
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\DateAxis.java,DateAxis,1670,608,0.36407185628742517,157,0.002318929020939014
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\DateTick.java,DateTick,120,78,0.65,9,0.07222222222222223
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,DateTickMarkPosition,53,47,0.8867924528301887,1,0.8867924528301887
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\DateTickUnit.java,DateTickUnit,317,177,0.5583596214511041,27,0.02067998597967052
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,DateTickUnitType,74,56,0.7567567567567568,2,0.3783783783783784
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,ExtendedCategoryAxis,230,124,0.5391304347826087,16,0.03369565217391304
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,LogarithmicAxis,951,456,0.4794952681388013,110,0.004359047892170921
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\LogAxis.java,LogAxis,965,403,0.41761658031088084,90,0.0046401842256764535
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\LogTick.java,LogTick,72,58,0.8055555555555556,2,0.4027777777777778
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,MarkerAxisBand,242,109,0.45041322314049587,19,0.023705959112657677
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\ModuloAxis.java,ModuloAxis,398,187,0.46984924623115576,41,0.011459737712955019
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,MonthDateFormat,230,132,0.5739130434782609,15,0.03826086956521739
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\NumberAxis.java,NumberAxis,1024,430,0.419921875,108,0.003888165509259259
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\NumberTick.java,NumberTick,84,65,0.7738095238095238,3,0.25793650793650796
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,NumberTickUnit,139,84,0.60431654676259,11,0.05493786788750818
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,NumberTickUnitSource,214,57,0.26635514018691586,36,0.007398753894080996
D:\Tests\jfreechart\src\main\java\org\jfree\chart\axis\package-info.java,package-info,4,3,0.75,1,0.75
